# go_source_id	status	crystal_refs	notes
wrap.go::type::WrapWriter	missing	TODO	baseline
writer.go::func::Fprint	missing	TODO	baseline
writer.go::func::Fprintf	missing	TODO	baseline
writer.go::func::Fprintln	missing	TODO	baseline
writer.go::func::Print	missing	TODO	baseline
writer.go::func::Printf	missing	TODO	baseline
writer.go::func::Println	missing	TODO	baseline
writer.go::func::Sprint	missing	TODO	baseline
writer.go::func::Sprintf	missing	TODO	baseline
writer.go::func::Sprintln	missing	TODO	baseline
