# go_id	kind	status	crystal_refs	notes
table/table_test.go::test::TestTableOverFlowNoWrap	test	missing		auto-generated
table/table_test.go::test::TestTableRowSeparators	test	missing		auto-generated
table/table_test.go::test::TestTableSetRows	test	missing		auto-generated
table/table_test.go::test::TestTableShrinkWithYOffset	test	missing		auto-generated
table/table_test.go::test::TestTableUnsetBorders	test	missing		auto-generated
table/table_test.go::test::TestTableUnsetHeaderSeparator	test	missing		auto-generated
table/table_test.go::test::TestTableUnsetHeaderSeparatorWithBorder	test	missing		auto-generated
table/table_test.go::test::TestTableWidthExpand	test	missing		auto-generated
table/table_test.go::test::TestTableWidthShrink	test	missing		auto-generated
table/table_test.go::test::TestTableWidthSmartCrop	test	missing		auto-generated
table/table_test.go::test::TestTableWidthSmartCropExtensive	test	missing		auto-generated
table/table_test.go::test::TestTableWidthSmartCropTiny	test	missing		auto-generated
table/table_test.go::test::TestTableWidths	test	missing		auto-generated
table/table_test.go::test::TestTableWithBackground	test	missing		auto-generated
table/table_test.go::test::TestTableYOffset	test	missing		auto-generated
table/table_test.go::test::TestWrapPreStyledContent	test	missing		auto-generated
table/table_test.go::test::TestWrapStyleFuncContent	test	missing		auto-generated
tree/children.go::func::NewFilter	func	missing		auto-generated
tree/children.go::func::NewStringData	func	missing		auto-generated
tree/children.go::method::Filter.At	method	missing		auto-generated
tree/children.go::method::Filter.Filter	method	missing		auto-generated
tree/children.go::method::Filter.Length	method	missing		auto-generated
tree/children.go::method::NodeChildren.Append	method	missing		auto-generated
tree/children.go::method::NodeChildren.At	method	missing		auto-generated
tree/children.go::method::NodeChildren.Length	method	missing		auto-generated
tree/children.go::method::NodeChildren.Remove	method	missing		auto-generated
tree/children.go::struct::Filter	struct	missing		auto-generated
tree/children.go::type::Children	type	missing		auto-generated
tree/children.go::type::NodeChildren	type	missing		auto-generated
tree/enumerator.go::func::DefaultEnumerator	func	missing		auto-generated
tree/enumerator.go::func::DefaultIndenter	func	missing		auto-generated
tree/enumerator.go::func::RoundedEnumerator	func	missing		auto-generated
tree/enumerator.go::type::Enumerator	type	missing		auto-generated
tree/enumerator.go::type::Indenter	type	missing		auto-generated
tree/renderer.go::struct::Style	struct	missing		auto-generated
tree/renderer.go::type::StyleFunc	type	missing		auto-generated
tree/tree.go::func::New	func	missing		auto-generated
tree/tree.go::func::NewLeaf	func	missing		auto-generated
tree/tree.go::func::Root	func	missing		auto-generated
tree/tree.go::method::Leaf.Children	method	missing		auto-generated
tree/tree.go::method::Leaf.Hidden	method	missing		auto-generated
tree/tree.go::method::Leaf.SetHidden	method	missing		auto-generated
tree/tree.go::method::Leaf.SetValue	method	missing		auto-generated
