# go_id	kind	status	crystal_refs	notes
tree/renderer.go::type::StyleFunc	type	missing		heuristic-filter
tree/tree_test.go::test::TestAddItemWithAndWithoutRoot	test	missing		heuristic-filter
tree/tree_test.go::test::TestAt	test	missing		heuristic-filter
tree/tree_test.go::test::TestEmbedListWithinTree	test	missing		heuristic-filter
tree/tree_test.go::test::TestFilter	test	missing		heuristic-filter
tree/tree_test.go::test::TestMultilinePrefix	test	missing		heuristic-filter
tree/tree_test.go::test::TestMultilinePrefixInception	test	missing		heuristic-filter
tree/tree_test.go::test::TestMultilinePrefixSubtree	test	missing		heuristic-filter
tree/tree_test.go::test::TestNodeDataRemoveOutOfBounds	test	missing		heuristic-filter
tree/tree_test.go::test::TestRootStyle	test	missing		heuristic-filter
tree/tree_test.go::test::TestTree	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeAddTwoSubTreesWithoutName	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeAllHidden	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeCustom	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeHidden	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeLastNodeIsSubTree	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeMixedEnumeratorSize	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeMultilineNode	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeNil	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeRoot	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeStartsWithSubtree	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeStyleAt	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeStyleNilFuncs	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeSubTreeWithCustomEnumerator	test	missing		heuristic-filter
tree/tree_test.go::test::TestTreeTable	test	missing		heuristic-filter
tree/tree_test.go::test::TestTypes	test	missing		heuristic-filter
unset.go::method::Style.UnsetBorderTopBackgroundColor	method	missing		heuristic-filter
whitespace.go::type::WhitespaceOption	type	missing		heuristic-filter
whitespace_test.go::test::TestWhitespaceRenderNormal	test	missing		heuristic-filter
whitespace_test.go::test::TestWhitespaceRenderWithTab	test	missing		heuristic-filter
whitespace_test.go::test::TestWhitespaceRenderWithZeroWidthChar	test	missing		heuristic-filter
wrap.go::func::NewWrapWriter	func	missing		heuristic-filter
